date;open;high;low;close;volume
1993-11-17;3423.6;3438.3;3420.3;3436.7;
1993-11-18;3441.6;3452.5;3441.4;3452.5;
1993-11-19;3453.6;3456.7;3450.7;3455.3;
1993-11-22;3452.7;3454.4;3435;3435.4;
1993-11-23;3429.9;3444.7;3426.7;3439.2;
1993-11-24;3438.2;3439.5;3430.6;3430.7;
1993-11-25;3426.9;3445.2;3425.9;3445.2;
1993-11-26;3446;3455.7;3446;3454.9;
1993-11-29;3451.9;3468.4;3451.4;3466;
1993-11-30;3465.2;3484.9;3465.1;3484.9;
1993-12-01;3526;3567;3524.8;3565.6;
1993-12-02;3569.3;3576.8;3565.9;3565.9;
1993-12-03;3560.3;3568.6;3559.4;3566.5;
1993-12-06;3567.1;3569.2;3563.4;3565.8;
1993-12-07;3571;3571;3562.5;3568;
1993-12-08;3565.9;3590;3559;3589.9;
1993-12-09;3600.2;3608.9;3592.7;3596.2;
1993-12-10;3596.3;3604;3590.1;3601.3;
1993-12-13;3603.6;3611.2;3603.2;3607.6;
1993-12-14;3613.1;3621.9;3612.5;3614.3;
1993-12-15;3613;3631.5;3613;3631.5;
1993-12-16;3638.1;3674.2;3638.1;3674.1;
1993-12-17;3684.2;3695;3684.2;3691.7;
1993-12-20;3696.1;3711.1;3695.6;3710.4;
1993-12-21;3711.4;3716.5;3706.2;3706.9;
1993-12-22;3705;3727.2;3704.1;3727;
1993-12-23;3734.7;3762.8;3734.7;3762.8;
1993-12-24;3763.6;3773.2;3763.6;3773.2;
1993-12-29;3781;3808.9;3779.1;3807;
1993-12-30;3812.8;3816.4;3786.5;3786.6;
1993-12-31;3785.4;3794.1;3785.4;3791.3;
1994-01-04;3799.2;3800;3788.8;3799.4;
1994-01-05;3810.4;3825.5;3810.4;3820.4;
1994-01-06;3803.6;3849.1;3803.3;3849;
1994-01-07;3852.5;3912.5;3852.5;3912.5;
1994-01-10;3924.9;3927.1;3899.5;3901.4;
1994-01-11;3907.6;3907.8;3889;3889.2;
1994-01-12;3875;3875.7;3863.9;3864.6;
1994-01-13;3864;3882.3;3859.3;3882.1;
1994-01-14;3887.5;3915.7;3887.4;3915.7;
1994-01-17;3915.4;3948.8;3915.4;3948.8;
1994-01-18;3959.1;4013.3;3959.1;4013.3;
1994-01-19;4035.6;4158.7;4035.6;4148.8;
1994-01-20;4139.3;4142;4104;4105.4;
1994-01-21;4105.9;4114.2;4098.6;4105.8;
1994-01-24;4112.4;4112.4;4097.5;4100.9;
1994-01-25;4104.5;4107;4091;4091.1;
1994-01-26;4083.5;4089;4079.4;4079.7;
1994-01-27;4080.1;4088.7;4075.7;4076.4;
1994-01-28;4069.6;4070.2;4060.4;4065.8;
1994-01-31;4067.4;4084.4;4067.4;4084.3;
1994-02-01;4095.7;4113.1;4095.7;4105.4;
1994-02-02;4102;4150.9;4102;4150.9;
1994-02-03;4157.7;4167.4;4152.8;4152.8;
1994-02-04;4149.5;4149.5;4142;4146.4;
1994-02-07;4041.9;4077.1;4041.9;4077.1;
1994-02-08;4099.2;4142.3;4095;4131.6;
1994-02-09;4118.8;4118.8;4097;4101.1;
1994-02-10;4101.7;4105.3;4068;4068.9;
1994-02-11;4050;4050;4015;4030;
1994-02-14;4026.7;4028.4;4005.7;4010.6;
1994-02-15;4011.7;4028.5;4011.7;4028.5;
1994-02-16;4033.9;4051.3;4033.9;4050.6;
1994-02-17;4052.6;4056.7;4046.5;4054.3;
1994-02-18;4041.7;4041.7;4025.4;4025.5;
1994-02-21;3994.5;4000.4;3983.9;3983.9;
1994-02-22;3982.7;3985.4;3962.1;3968.9;
1994-02-23;3977.2;3978.8;3970.4;3974.9;
1994-02-24;3966.7;3966.7;3922.5;3923;
1994-02-25;3904.9;3919.9;3899;3919.9;
1994-02-28;3925.1;3960;3924.8;3960;
1994-03-01;3964.4;3967.9;3944.6;3944.6;
1994-03-02;3932.6;3932.6;3888.9;3901.8;
1994-03-03;3921.5;3921.5;3902.7;3907;
1994-03-04;3909.9;3928.2;3909.9;3927.3;
1994-03-07;3927.8;3938.1;3927.8;3937.7;
1994-03-08;3938.4;3940.3;3923;3923.1;
1994-03-09;3919.9;3919.9;3909.9;3913;
1994-03-10;3916.9;3920;3908.4;3908.4;
1994-03-11;3892.4;3892.4;3856.6;3857.4;
1994-03-14;3864.6;3889.7;3864.6;3885.7;
1994-03-15;3887;3902.5;3887;3902.5;
1994-03-16;3900.5;3903.3;3890.4;3890.4;
1994-03-17;3890.9;3893.4;3886.6;3886.6;
1994-03-18;3878.9;3878.9;3854.5;3865.6;
1994-03-21;3868.1;3868.2;3854.5;3854.5;
1994-03-22;3855.9;3861.7;3850.2;3853.1;
1994-03-23;3863.5;3866.5;3825.1;3825.2;
1994-03-24;3822.9;3824.2;3792.3;3795.7;
1994-03-25;3790.7;3791.5;3763;3775.2;
1994-03-28;3760.3;3790.4;3760.1;3785.7;
1994-03-29;3793.4;3799.1;3788.5;3788.8;
1994-03-30;3753.2;3772.9;3748.5;3767.1;
1994-03-31;3743.2;3757.3;3741.1;3752.9;
1994-04-05;3738.4;3763;3728.4;3763;
1994-04-06;3781.3;3783.5;3777.3;3778.1;
1994-04-07;3775;3775;3758.4;3764.2;
1994-04-08;3767.2;3770.2;3753.2;3755.5;
1994-04-11;3751;3779.6;3750.5;3779.5;
1994-04-12;3788.2;3814.8;3788.2;3808.3;
1994-04-13;3804.3;3806;3799.4;3801.2;
1994-04-14;3796.1;3802.7;3791.1;3792.1;
1994-04-15;3795.1;3825;3795.1;3824.6;
1994-04-18;3833.2;3840.7;3813.9;3814;
1994-04-19;3809;3814.4;3799.6;3805.9;
1994-04-20;3805.5;3811.5;3782.6;3782.6;
1994-04-21;3776.7;3782.5;3774.7;3782.5;
1994-04-22;3799.3;3799.3;3780.1;3789.5;
1994-04-25;3783.6;3784.2;3766.5;3767.6;
1994-04-26;3775.7;3783.3;3775.7;3777.7;
1994-04-27;3776.6;3793.9;3775.9;3793.9;
1994-04-28;3798;3806;3797.2;3797.4;
1994-04-29;3788.9;3793.3;3774.9;3781.1;
